data,label
h 937 t 222 SPACE 223 / 235 SPACE 224 Shift 247 ( 97 h 153 e,2
t 222 SPACE 223 / 235 SPACE 224 Shift 247 ( 97 h 153 e 76 i,2
SPACE 223 / 235 SPACE 224 Shift 247 ( 97 h 153 e 76 i 126 g,2
/ 235 SPACE 224 Shift 247 ( 97 h 153 e 76 i 126 g 109 h,2
SPACE 224 Shift 247 ( 97 h 153 e 76 i 126 g 109 h 477 t,2
Shift 247 ( 97 h 153 e 76 i 126 g 109 h 477 t 514 SPACE,2
( 97 h 153 e 76 i 126 g 109 h 477 t 514 SPACE 165 Shift,2
h 153 e 76 i 126 g 109 h 477 t 514 SPACE 165 Shift 280 *,2
e 76 i 126 g 109 h 477 t 514 SPACE 165 Shift 280 * 286 SPACE,2
i 126 g 109 h 477 t 514 SPACE 165 Shift 280 * 286 SPACE 91 h,2
g 109 h 477 t 514 SPACE 165 Shift 280 * 286 SPACE 91 h 164 e,2
h 477 t 514 SPACE 165 Shift 280 * 286 SPACE 91 h 164 e 86 i,2
t 514 SPACE 165 Shift 280 * 286 SPACE 91 h 164 e 86 i 122 g,2
SPACE 165 Shift 280 * 286 SPACE 91 h 164 e 86 i 122 g 144 h,2
Shift 280 * 286 SPACE 91 h 164 e 86 i 122 g 144 h 248 t,2
* 286 SPACE 91 h 164 e 86 i 122 g 144 h 248 t 196 Shift,2
SPACE 91 h 164 e 86 i 122 g 144 h 248 t 196 Shift 253 ),2
h 164 e 86 i 122 g 144 h 248 t 196 Shift 253 ) 551 ),2
e 86 i 122 g 144 h 248 t 196 Shift 253 ) 551 ) 937 Enter,2
i 122 g 144 h 248 t 196 Shift 253 ) 551 ) 937 Enter 135 p,2
g 144 h 248 t 196 Shift 253 ) 551 ) 937 Enter 135 p 68 r,2
h 248 t 196 Shift 253 ) 551 ) 937 Enter 135 p 68 r 143 i,2
t 196 Shift 253 ) 551 ) 937 Enter 135 p 68 r 143 i 139 n,2
Shift 253 ) 551 ) 937 Enter 135 p 68 r 143 i 139 n 173 t,2
) 551 ) 937 Enter 135 p 68 r 143 i 139 n 173 t 201 Shift,2
) 937 Enter 135 p 68 r 143 i 139 n 173 t 201 Shift 200 (,2
Enter 135 p 68 r 143 i 139 n 173 t 201 Shift 200 ( 177 x,2
p 68 r 143 i 139 n 173 t 201 Shift 200 ( 177 x 683 SPACE,2
r 143 i 139 n 173 t 201 Shift 200 ( 177 x 683 SPACE 158 i,2
i 139 n 173 t 201 Shift 200 ( 177 x 683 SPACE 158 i 140 f,2
n 173 t 201 Shift 200 ( 177 x 683 SPACE 158 i 140 f 192 SPACE,2
t 201 Shift 200 ( 177 x 683 SPACE 158 i 140 f 192 SPACE 84 x,2
Shift 200 ( 177 x 683 SPACE 158 i 140 f 192 SPACE 84 x 424 SPACE,2
( 177 x 683 SPACE 158 i 140 f 192 SPACE 84 x 424 SPACE 140 Shift,2
x 683 SPACE 158 i 140 f 192 SPACE 84 x 424 SPACE 140 Shift 608 <,2
SPACE 158 i 140 f 192 SPACE 84 x 424 SPACE 140 Shift 608 < 367 Backspace,2
i 140 f 192 SPACE 84 x 424 SPACE 140 Shift 608 < 367 Backspace 120 Shift,2
f 192 SPACE 84 x 424 SPACE 140 Shift 608 < 367 Backspace 120 Shift 262 >,2
SPACE 84 x 424 SPACE 140 Shift 608 < 367 Backspace 120 Shift 262 > 172 Shift,2
x 424 SPACE 140 Shift 608 < 367 Backspace 120 Shift 262 > 172 Shift 305 =,2
SPACE 140 Shift 608 < 367 Backspace 120 Shift 262 > 172 Shift 305 = 1466 SPACE,2
Shift 608 < 367 Backspace 120 Shift 262 > 172 Shift 305 = 1466 SPACE 331 y,2
< 367 Backspace 120 Shift 262 > 172 Shift 305 = 1466 SPACE 331 y 248 SPACE,2
Backspace 120 Shift 262 > 172 Shift 305 = 1466 SPACE 331 y 248 SPACE 88 e,2
Shift 262 > 172 Shift 305 = 1466 SPACE 331 y 248 SPACE 88 e 161 l,2
> 172 Shift 305 = 1466 SPACE 331 y 248 SPACE 88 e 161 l 164 s,2
Shift 305 = 1466 SPACE 331 y 248 SPACE 88 e 161 l 164 s 297 e,2
= 1466 SPACE 331 y 248 SPACE 88 e 161 l 164 s 297 e 776 SPACE,2
SPACE 331 y 248 SPACE 88 e 161 l 164 s 297 e 776 SPACE 345 y,2
y 248 SPACE 88 e 161 l 164 s 297 e 776 SPACE 345 y 316 Shift,2
SPACE 88 e 161 l 164 s 297 e 776 SPACE 345 y 316 Shift 372 ),2
e 161 l 164 s 297 e 776 SPACE 345 y 316 Shift 372 ) 1064 Enter,2
l 164 s 297 e 776 SPACE 345 y 316 Shift 372 ) 1064 Enter 161 p,2
s 297 e 776 SPACE 345 y 316 Shift 372 ) 1064 Enter 161 p 60 r,2
e 776 SPACE 345 y 316 Shift 372 ) 1064 Enter 161 p 60 r 135 i,2
SPACE 345 y 316 Shift 372 ) 1064 Enter 161 p 60 r 135 i 132 n,2
y 316 Shift 372 ) 1064 Enter 161 p 60 r 135 i 132 n 174 t,2
Shift 372 ) 1064 Enter 161 p 60 r 135 i 132 n 174 t 180 Shift,2
) 1064 Enter 161 p 60 r 135 i 132 n 174 t 180 Shift 158 (,2
Enter 161 p 60 r 135 i 132 n 174 t 180 Shift 158 ( 646 s,2
p 60 r 135 i 132 n 174 t 180 Shift 158 ( 646 s 532 [,2
r 135 i 132 n 174 t 180 Shift 158 ( 646 s 532 [ 610 0,2
i 132 n 174 t 180 Shift 158 ( 646 s 532 [ 610 0 1276 ],2
n 174 t 180 Shift 158 ( 646 s 532 [ 610 0 1276 ] 289 .,2
t 180 Shift 158 ( 646 s 532 [ 610 0 1276 ] 289 . 222 u,2
Shift 158 ( 646 s 532 [ 610 0 1276 ] 289 . 222 u 175 p,2
( 646 s 532 [ 610 0 1276 ] 289 . 222 u 175 p 10 p,2
